Year,Mortgage,Revolving,Auto,Credit Card,Student Loans,Other
2003,1.13,0.29,2.23,8.91,6.19,7.18
2004,1.04,0.19,2.30,8.99,6.38,7.48
2005,0.93,0.21,2.12,9.11,6.58,6.33
2006,1.04,0.42,2.39,9.16,6.84,5.49
2007,2.12,0.99,2.74,9.49,7.31,6.00
2008,4.61,2.52,3.52,9.83,7.58,7.47
2009,7.96,4.07,4.61,11.95,8.31,9.07
2010,8.17,4.22,4.99,13.48,8.97,10.59
2011,7.02,4.68,4.98,12.07,8.83,10.56
2012,6.12,4.51,4.27,10.80,10.09,9.98
2013,4.63,3.23,3.55,9.75,11.36,9.32
2014,3.34,3.30,3.30,7.78,11.09,8.18
2015,2.49,2.74,3.36,8.16,11.40,7.31
2016,1.76,2.08,3.58,7.25,11.05,7.31
2017,1.45,1.79,3.94,7.46,11.08,6.89
2018,1.11,1.36,4.29,7.90,11.14,7.07
2019,0.94,1.18,4.67,8.32,10.84,7.18
